1000049,Spraggs,111-1160,,50,25,12.8.16,,,N,Y,N,Y,N,,Jones,,25.0,-0.00775
1000050,Jefferson,111-1161,,100,8,11.12.16,,,Y,N,N,Y,N,,Jones,,92.0,-0.05128
1000051,Bobtown,111-1162,222-2232,125,76.5,5.6.17,,,N,Y,N,N,N,,Jones,,48.5,-0.01163
1000052,Mt. Morris,111-1163,,50,32,2.2.17,,,N,Y,N,N,N,,Jones,,18.0,-0.00315
1000053,Brave,111-1164,,75,0,5.3.17,,,Y,N,N,N,N,,Jones,,75.0,-0.01425
1000054,Dilliner,111-1165,,90,67.5,5.3.17,,,Y,N,N,N,N,,Jones,,22.5,-0.00427
1000055,Wbg,111-1166,,175,14,1.9.18,,,Y,,,,,,Hartman,,161.0,-0.05044
1000056,Wbg,111-1167,,150,15,8.26.16,,,Y,,,,,,Hartman,,135.0,0.04183
1000057,Wbg,111-1168,,225,71.5,3.3.18,,,Y,,,,,,Hartman,,153.5,-0.02883
1000058,Wbg,111-1169,,315,111,11.12.19,,,N,,,,,,Hartman,,204.0,-0.1139
1000059,Wbg,111-1170,,225,30,3.13.18,,,Y,,,,,,Hartman,,195.0,-0.11663
1000060,Greensboro,111-1171,,225,50,2.26.16,,,N,,,,,,Hartman,,175.0,0.05745
1000061,Wbg,111-1172,,475,63,6.4.19,,,Y,,,,,,Hartman,,412.0,-0.08467
1000062,Bobtown,111-1173,,225,50,4.7.16,,,N,,,,,,Hartman,,175.0,-0.04563
1000063,Carmichaels,111-1174,,125,0,9.1.20,,,N,,,,,,Hartman,,125.0,-0.0213
1000064,Mt. Morris,111-1175,,225,15,7.25.18,,,,,,,,,Hartman,,210.0,0.07413
1000065,Wbg,111-1176,,225,40,10.18.18,,,Y,,,,,,Hartman,,185.0,0.50272
1000066,Carmichaels,111-1177,,215,0,6.11.20,,,N,,,,,,Hartman,,215.0,-0.09311
1000067,Wbg,111-1178,,225,10,9.18.19,,,Y,,,,,,Hartman,,215.0,0.63422
1000068,Jefferson,111-1179,,250,90,11.11.20,,,Y,,,,,,Hartman,Jefferson Twp,160.0,-0.07421
1000069,Wbg,111-1180,,225,64,7.30.19,,,Y,,,,,,Hartman,,161.0,0.03455
1000070,Carmichaels,111-1181,,125,0,5.28.19,,,Y,,,,,,Hartman,,125.0,0.03231
